peakid,pkname,location,heightm,heightf,region,restrict,pstatus,pyear,pexpid
LARK,Larkya Peak,Manaslu Himal (N of Manaslu North),6416,21050,4,None,2,2017,LARK17301
NUPW,Nuptse West II,Khumbu Himal (NW of Nuptse main summit),7732,25367,2,Requires permit for Nuptse,2,nan,None
TENE,Tengi Ragi Tau East,Rolwaling Himal (N of Tesi Laptsa),6675,21900,2,None,2,2005,TENE05301
NILE,Nilgiri East,Annapurna-Nilgiri Himal (NNW of Annapurna I),6698,21975,5,None,2,1970,None
PEMR,Pemthang Ri,Jugal Himal (N of Pemthang Karpo Ri on Tibetan border),6743,22123,3,None,1,nan,None
FUTI,Futi Himal,Damodar Himal (W of Bhrikuti),6425,21079,5,None,2,2014,FUTI14101
SANB,Sano Bhrikuti,Damodar Himal (ENE of Bhrikuti),6328,20761,2,None,2,2017,BHRS17101
SANK,Sano Kailash,None,6452,21168,5,None,2,2019,SANK19101
TARS,Tarke Kang Shar,Annapurna Himal (E of Glacier Dome),7069,23192,5,None,2,1981,TARS81301
KORL,Korlang Pari Tippa,N of Lamabagar on Tibetan border,5738,18825,2,Opened in 2014,1,nan,None
JANE,Jannu East,Kangchenjunga Himal (W of Kangchenjunga),7460,24475,1,Requires Jannu permit,1,nan,None
YUBR,Yubra,Langtang Himal (ENE of Langtang Lirung),6264,20551,3,None,1,nan,None
